Passage,Statement,Type
"It also leads executives to value the benefits of innovations they’ve developed over the advantages of incumbent products.

Companies have long assumed that people will adopt new products that deliver more value or utility than existing ones. Thus, businesses need only to develop innovations that are objectively superior to incumbent products, and consumers will have sufficient incentive to purchase them
Why do consumers fail to buy innovative products even when they offer distinct improvements over existing ones? Why do companies invariably have more faith in new products than is warranted? Few would question the objective advantages of many innovations over existing alternatives, but that’s often not enough for them to succeed. To understand why new products fail to live up to companies’ expectations, we must delve into the psychology of behavior change.

New products often require consumers to change their behavior
In today’s hypercompetitive marketplace, companies that successfully introduce new products are more likely to flourish than those that don’t. businesses spend billions of dollars making better “mousetraps” only to find consumers roundly rejecting them. Studies show that new products fail at the stunning rate of between 40% and 90%, depending on the category, and the odds haven’t changed much in the past 25 years. In the U.S
In the 1960s, communications scholar Everett Rogers called the concept “relative advantage” and identified it as the most critical driver of new-product adoption. This argument assumes that companies make unbiased assessments of innovations and of consumers, likelihood of adopting them
According to one study, 47% of first movers have failed, meaning that approximately half the companies that pioneered new product categories later pulled out of those businesses.

After the fact, experts and novices alike tend to dismiss unsuccessful innovations as bad ideas that were destined to fail",The products of innovations which beat existing alternatives can guarantee a successful market share.,2
"The conventional mechanism of water
purification used in big cities where there are large volumes of water to be purified is inappropriate in rural areas.


The common reed has the ability to transfer oxygen from its leaves, down through its stem and rhizomes, and out via its root system
As a result of this action, a very high population of microorganisms occurs in the root system, in zones of aerobic, anoxic, and anaerobic conditions. As the waste water moves very slowly through the mass of reed roots, this liquid can be successfully treated
They remove excess nutrients from the water as well as oil and bacteria such as Escherichia coli and Salmonella. However, algae grow freely in summer and die off in winter. Their remains foul the bottom of the pool.


Artificial reed beds purify water in both horizontal and downflow ways. The reeds succeed best when a dense layer of root hairs has formed. It takes three years for the roots to fully develop
Reed beds are natural habitats found in floodplains, waterlogged depressions and estuaries. The natural bed systems are a biologically proved, an environmentally friendly and visually unobtrusive way of treating wastewater, and have the extra virtue of frequently being better than mechanical wastewater treatment systems.

Over the medium to long term reed bed systems are, in most cases, more cost effective to install than any other wastewater treatment
A vertical reed bed system works more efficiently than a horizontal reed bed system, but it requires more management, and its reed beds are often operated for a few days then rested, so several beds and a distribution system are needed.


The natural way of water purification has many advantages over the conventional mechanism. The natural way requires less expenditure for installation, operation and maintenance. Besides, it looks attractive and can improve the surrounding landscape","In the reed roots, there is a series of processes that help break down the pollutants.",1
"It promotes better concentration, memory, and overall brain health.

Social Benefits:
Participating in group exercises or team sports provides social benefits, fostering a sense of community and camaraderie. This can positively impact one's mental and emotional well-being.

Reduced Risk of Chronic Diseases:
Regular physical activity is associated with a lower risk of chronic diseases such as type 2 diabetes, certain cancers, and osteoporosis
Exercise is widely recognized as a crucial component of a healthy lifestyle, offering a myriad of benefits for both physical and mental well-being. Incorporating regular exercise into one's routine can lead to numerous positive outcomes. In this article, we will explore some of the key advantages of engaging in regular physical activity.

Improved Cardiovascular Health:
Engaging in regular exercise is known to enhance cardiovascular health by strengthening the heart and improving blood circulation
This can significantly reduce the risk of heart diseases and related issues.

Weight Management:
Regular physical activity plays a vital role in weight management. It helps burn calories, build muscle, and maintain a healthy body weight, reducing the risk of obesity and its associated health problems.

Enhanced Mental Health:
Exercise has a positive impact on mental health, contributing to reduced stress, anxiety, and depression
Physical activity helps regulate sleep patterns and promotes a more restful night's sleep.

Stronger Immune System:
Regular exercise can contribute to a stronger immune system, making the body more resilient to illnesses and infections. It enhances the production of white blood cells, which play a crucial role in immune defense.

Enhanced Cognitive Function:
Exercise has been linked to improved cognitive function and a reduced risk of cognitive decline",Regular physical activity is linked to a higher risk of chronic diseases.,2
"Though Western medicine was also relatively ineffectual at the time, this failure still strongly affected Maori confidence in their healers. Some western missionaries attributed the spread of disease to the fact the Maori did not believe in Christianity, and as Maori healers appeared powerless, many Maori accepted this explanation and turned to Christianity
Additionally, there was and still a today a perceived lack of a spiritual dimension in Western health services.

Although Maori today largely accepted Western concepts of health and illness, and use the mainstream health system, there is significant demand for traditional medicine. This is true for unusual illnesses, or those that fail to respond to standard medical treatment, but also for common ailments such as the cold and influenza.

Today's healers differ significantly from those of old times
Furthermore, people started to be less trusting of Western medicine-statistics from the 1970s came out revealing that Maori health continued to be poorer than that of other New Zealanders. There were also problems with access to health care for Maori
Over time the schools of higher learning which ahd trained healers started to close and the tradition of the Maori healer declined.

From the late 20th century, there was renewed Maori interest in their traditional medicine. This was due to several factors. There was a resurgence of all aspects of Maori culture in New Zealand
The Maori are the indigenous people of the islands of New Zealand. Their traditional medicine, which is believed to date back as far as the 13th century, was a system of healing that was passed down through the generations orally. It comprised diverse practices and placed an emphasis on the spiritual dimension of health",Western religion was one reason why traditional Maori medicine became less popular.,1
"Want some great clothing ideas for your family?

Our key for clothing specials in July: M for men, W for women, C for children

For under $10
Cotton socks C	- made of pure cotton for long wearing
Woollen socks C	- to keep young feet warm in winter
Sports socks M	- to go with jeans and other casual clothes
Patterned belts W	- to go with jeans and other casual clothes
For under $25
Cotton shirts W	- for day and evening wear
Silk shirts M	- five sizes, in designer colours, for that special social occasion
T shirts C	- hard-wearing, white with a variety of animal motifs
Colour T-shirts M W	- cotton and polyester blend, plain colours, no ironing
For under $50
Blue jeans M W	- non-shrink, colourfast, small sizes only
Silk shirts M W	- plain and patterned, all sizes
Hooded jacket C	- protects from the wind, 4 sizes, large strong pockets
jacket W	- waterproof with zipper front, all sizes
Or you can buy a gift voucher so that someone else can choose
These come in $10, $20 and $50 amounts.

Additional monthly specials for July to September

July	- $10 voucher with any purchase over $60
August	- Travel alarm clock worth $19.95 free with purchases of $80 or more!
September	- Children's backpacks
Free with any credit card purchase over $75!
Note: Postage and packing charges
These are applied to each order as follows:

Within Australia:
$7.95 per address, regular post
$17.95 for Express Delivery Service (overnight)

Overseas:
Surface Mail (allow a minimum of two months for delivery)
Airmail (allow around two weeks delivery to most destinations)
",Women's cotton socks cost less than men's.  ,3
"His father, Alfred, ran the Brash retail music business that had been founded in 1862 by his grandfather, the German immigrant Marcus Brasch, specialising in pianos. It carried the slogan ‘A home is not a home without a piano.'

In his young days, Brash enjoyed the good life, playing golf and sailing, and spending some months travelling through Europe, having a leisurely holiday
But it was not long before he invested in a restructured Allan's music business.

Brash was a committed philanthropist who, in the mid-1980s, established the Brash Foundation, which eventually morphed, with other partners, into the Soundhouse Music Alliance. This was a not-for-profit organisation overseeing and promoting multimedia music making and education for teachers and students
He developed a relationship with Taro Kakehashi, the founder of Japan's Roland group, which led to a joint venture that brought electronic musical devices to Australia.

In 1965, Brash and his wife attended a trade fair in Guangzhou, the first of its kind in China; they were one of the first Western business people allowed into the country following Mao Zedong's Cultural Revolution
Brash also took leading jazz musicians Don Burrows and James Morrison to China, on a trip that reintroduced jazz to many Chinese musicians.

He stood down as Executive Chairman of Brash's in 1988, but under the new management debt became a problem, and in 1994 the banks called in administrators. The company was sold to Singaporean interests and continued to trade until 1998, when it again went into administration
The Brash name then disappeared from the retail world. Brash was greatly disappointed by the collapse and the eventual disappearance of the company he had run for so long",The Brash business originally sold pianos.,1
"One of the most evocative eras in the history of poetry must surely be that of the Romantic Movement
During the late eighteenth and early nineteenth centuries a group of poets created a new mood in literary objectives, casting off their predecessors' styles in favour of a gripping and forceful art which endures with us to this day.

Five poets emerged as the main constituents of this movement – William Wordsworth, Samuel Taylor Coleridge, George Gordon Byron, Percy Bysshe Shelley and John Keats
The strength of their works lies undoubtedly in the power of their imagination. Indeed, imagination was the most critical attribute of the Romantic poets. Each poet had the ability to portray remarkable images and visions, although differing to a certain degree in their intensity and presentation. Nature, mythology and emotion were of great importance and were used to explore the feelings of the poet himself.

The lives of the poets often overlapped and tragedy was typical in most of them
We can only wonder at the possible outcome had they all lived to an old age. Perhaps even Byron and Shelley would have mellowed with the years, like Wordsworth. However, the contribution to poetry by all five writers is immeasurable. They introduced the concepts of individualism and imagination, allowing us to explore our own visions of beauty without retribution
We are not now required to restrain our thoughts and poetry to that of the socially acceptable.
During these latter years, his poetry was abandoned for other forms of writing equally outstanding in their own right.

Perhaps the most tragic of the Romantic poets was Keats. Keats was born in London in 1795. Similar to Wordsworth, both his parents had died by his early teens. He studied as a surgeon, qualifying in 1816. However, poetry was his great passion and he decided to devote himself to writing",The Romantic Movement lasted for more than a century.,2
"In every corner of the world, it has been the subject of superstition, folklore, and warfare, and has even been used as currency.

As a precious and portable commodity, salt has long been a cornerstone of economies throughout history. In fact, researcher M.R. Bloch conjectured that civilization began along the edges of the desert because of the natural surface deposits of salt found there
From manufacturing pulp and paper to setting dyes in textiles and fabric, from producing soaps and detergents to making our roads safe in winter, salt plays an essential part in our daily lives.

Salt has a long and influential role in world history. From the dawn of civilization, it has been a key factor in economic, religious, social and political development
Salt is so simple and plentiful that we almost take it for granted. In chemical terms, salt is the combination of a sodium ion with a chloride ion, making it one of the most basic molecules on earth. It is also one of the most plentiful: it has been estimated that salt deposits under the state of Kansas alone could supply the entire world’s needs for the next 250,000 years.

But salt is also an essential element
Today, a gift of salt endures in India as a potent symbol of good luck and a reference to Mahatma Gandhi’s liberation of India.

The effects of salt deficiency are highlighted in times of war, when human bodies and national economies are strained to their limits
Greek slave traders often bartered it for slaves, giving rise to the expression that someone was “not worth his salt.” Roman legionnaires were paid in salt – a solarium, the Latin origin of the word “salary.”

Merchants in 12th-century Timbuktu – the gateway to the Sahara Desert and the seat of scholars – valued this mineral as highly as books and gold",Salt is no longer used as a form of currency,2
"It is therefore more than probable that ambergris, from the position in which it is found and its chemical constitution, is a biliary concretion analogous to what is formed in other mammals.
The industries founded on ambergris resulted in the slaughter of sperm whales  almost to extinction
In the 20th century, 90% of ambergris was derived in the processing of killing sperm whales. To this day, ambergris is still the most expensive product in the whole body of sperm whale. Depending on its quality, raw ambergris fetches approximately 20 USD per gram
That observation, in connection with the fact of ambergris being frequently taken from the intestines of the sperm whale, sufficiently proved that the substance is produced by the whale's intestine as a means of facilitating the passage of undigested hard, sharp beaks of squid that the whale has eaten.
It was further observed that the whales in which ambergris was found were either dead or much wasted and evidently in a sickly condition
From this it was inferred that ambergris is in some way connected with a morbid condition of the sperm whale. Often expelled by vomiting, ambergris floats in chunks on the water and is of a deep grey colour, soft consistence, and an offensive, disagreeable smell
Ambergris is a solid, waxy and flammable substance of a dull 2rey or blackish color, with the shades being variegated 1ike marble. It possesses a peculiar sweet，earthy odour not unlike isopropyl alcohol. It is now known to be a morbid secretion formed in the intestines of the sperm whale, found in the Atlantic and Pacific oceans","In the 20th century, most ambergris was made in the process of killing sperm whale.",1
"This is the main mechanism by which gamma photons with energies of about 100 kiloelectronvolts (keV) or less are blocked by matter: the photon transfers its energy to an electron in the atom's electron cloud, which is ejected into the surroundings.
An atom's ability to stop photons by this mechanism depends on the fourth power of its atomic number - the number of protons in its nucleus - so heavy elements are far better at intercepting gamma radiation and X-rays than light elements
This means that uranium could be especially effective at capturing photons and kicking out damaging photoelectrons: with an atomic number of 92, uranium blocks low-energy gamma photons over 450 times as effectively as the lighter element calcium, for instance.
Busby and Schnug say that previous risk models have ignored this well-established physical effect
Hill's doubts centre on an effect called Compton scattering, which he believes needs to be factored into any calculations. With Compton scattering, uranium is only 4.5 times as effective as calcium at stopping gamma photons, so Hill says that taking it into account would reduce the relative importance of uranium as an emitter of secondary electrons
He suspects that under normal background radiation the effect is too weak to inflict many of the “double hits” of energy that are known to be most damaging to cells. “It is very unlikely that individual cells would be subject to two or more closely spaced photoelectron impacts under normal background gamma irradiation,” he says",Heavier elements can perform better at preventing X-rays and gamma radiation.,1
"Additionally, reading promotes mental stimulation, keeping the brain active and engaged. Scientific studies have shown that mentally stimulating activities, such as reading, may help prevent cognitive decline as we age.

One of the unique aspects of reading is its ability to provide a sense of escapism. Fictional stories transport readers to imaginary realms, offering a break from the stresses of everyday life
Through books, readers can explore different worlds, gain insights into various lifestyles, and develop a broader understanding of humanity. This exposure fosters empathy by allowing readers to see the world through the eyes of characters with different backgrounds and experiences.

Moreover, reading is a powerful tool for expanding vocabulary and improving language skills. Exposure to well-crafted sentences and varied writing styles enhances communication skills, both written and verbal
In today's fast-paced world, where information is readily available at our fingertips, the habit of reading holds significant importance for personal development. Whether it's fiction or non-fiction, reading not only enhances our knowledge but also nurtures critical thinking skills and empathy. In this article, we'll explore why cultivating a reading habit is essential for one's growth and well-being.

Reading opens doors to diverse perspectives and cultures
This escape not only relaxes the mind but also helps in reducing stress levels.

Furthermore, reading fosters a continuous learning mindset. With an abundance of information available in books, readers have the opportunity to acquire new skills and stay informed about a wide range of topics. This continual learning contributes to personal and professional development.

In conclusion, the habit of reading is a valuable investment in personal growth
It offers not only knowledge but also enhances empathy, language skills, mental stimulation, and provides a means of escape. Cultivating a reading habit is a simple yet powerful way to contribute to one's overall well-being and development.",Fictional stories have no impact on reducing stress levels.,2
"According to the World Travel and Tourism Council (1992),Travel and tourism is the largest industry in the world on virtually any economic measure including value-added capital investment, employment and tax contributions,. In 1992' the industry's gross output was estimated to be $3.5 trillion, over 12 per cent of all consumer spending. The travel and tourism industry is the world's largest employer the almost 130 million jobs, or almost 7 per cent of all employees
For example, tourism is the major source of income in Bermuda, Greece, Italy, Spain, Switzerland and most Caribbean countries. In addition, Hawkins and Ritchie, quoting from data published by the American Express Company, suggest that the travel and tourism industry is the number one ranked employer in the Bahamas, Brazil, Canada, France, (the former) West Germany, Hong Kong, Italy, Jamaica, Japan, Singapore, the United Kingdom and the United States
In turn, international tourism became the concern of a number of world governments since it not only provided new employment opportunities but also produced a means of earning foreign exchange.
Tourism today has grown significantly in both economic and social importance. In most industrialised countries over the past few years the fastest growth has been seen in the area of services. One of the largest segments of the service industry, although largely unrecognised as an entity in some of these countries, is travel and tourism
In addition, Meis (1992) points out that the tourism industry involves concepts that have remained amorphous to both analysts and decision makers. Moreover, in all nations this problem has made it difficult for the industry to develop any type of reliable or credible tourism information base in order to estimate the contribution it makes to regional, national and global economies",Tourism contributes over six per cent of the Australian gross national product.,3
"The travel industry includes: hotels, motels and other types of accommodation; restaurants and other food services; transportation services and facilities; amusements, attractions and other leisure facilities; gift shops and a large number of other enterprises. Since many of these businesses also serve local residents, the impact of spending by visitors can easily be overlooked or underestimated
However, the nature of this very diversity makes travel and tourism ideal vehicles for economic development in a wide variety of countries, regions or communities.
Once the exclusive province of the wealthy, travel and tourism have become an institutionalised way of life for most of the population. In fact, McIntosh and Goeldner (1990) suggest that tourism has become the largest commodity in international trade for many nations and, for a significant number of other countries, it ranks second or third
According to the World Travel and Tourism Council (1992),Travel and tourism is the largest industry in the world on virtually any economic measure including value-added capital investment, employment and tax contributions,. In 1992' the industry's gross output was estimated to be $3.5 trillion, over 12 per cent of all consumer spending. The travel and tourism industry is the world's largest employer the almost 130 million jobs, or almost 7 per cent of all employees
However, because of problems of definition, which directly affect statistical measurement, it is not possible with any degree of certainty to provide precise, valid or reliable data about the extent of world-wide tourism participation or its economic impact. In many cases, similar difficulties arise when attempts are made to measure domestic tourism.",Visitor spending is always greater than the spending of residents in tourist areas.,3
"Indeed, research by Matthew Gailliot suggests that willpower, even in the absence of physical activity, both requires and drains blood glucose levels, suggesting that willpower operates more or less like a ‘muscle', and, like a muscle, requires fuel for optimum functioning.
These observations lead to an important question: if the strength of our willpower at the age of thirty-five is somehow pegged to our ability at the age of four, are all efforts to improve our willpower certain to prove futile? According to newer research, this is not necessarily the case
Although willpower does not shape our decisions, it determines whether and how long we can follow through on them. It almost single-handedly determines life outcomes. Interestingly, research suggests the general population is indeed aware of how essential willpower is to their wellbeing; survey participants routinely identify a ‘lack of willpower' as the major impediment to making beneficial life changes
There is a common perception that willpower entails resisting some kind of a ‘treat', such as a sugary drink or a lazy morning in bed, in favour of decisions that we know are better for us, such as drinking water or going to the gym. Of course this is a familiar phenomenon for all
Some groups who are particularly vulnerable to reduced willpower capacity, such as those with addictive personalities, may claim a biological origin for their problems. What is clear is that levels of willpower typically remain consistent over time (studies tracking individuals from early childhood to their adult years demonstrate a remarkable consistency in willpower abilities). In the short term, however, our ability to draw on willpower can fluctuate dramatically due to factors such as fatigue, diet and stress",Regular physical exercise improves our willpower ability.,3
"In the summer of 2001, the structure was then dismantled and transported on 35 lorries to Falkirk, before all being bolted back together again on the ground, and finally lifted into position in five large sections by crane. The Wheel would need to withstand immense and constantly changing stresses as it rotated, so to make the structure more robust, the steel sections were bolted rather than welded together
The eventual winner was a plan for the huge rotating steel boat lift which was to become The Falkirk Wheel. The unique shape of the structure is claimed to have been inspired by various sources, both manmade and natural, most notably a Celtic double headed axe, but also the vast turning propeller of a ship, the ribcage of a whale or the spine of a fish
The Falkirk Wheel in Scotland is the world's first and only rotating boat lift. Opened in 2002, it is central to the ambitious £84.5m Millennium Link project to restore navigability across Scotland by reconnecting the historic waterways of the Forth & Clyde and Union Canals.

The major challenge of the project lays in the fact that the Forth & Clyde Canal is situated 35 metres below the level of the Union Canal
--> NOT GIVEN (not mention about opposition)

The various parts of The Falkirk Wheel were all constructed and assembled, like one giant toy building set, at Butterley Engineering's Steelworks in Derbyshire, some 400 km from Falkirk. 

A team there carefully assembled the 1,200 tonnes of steel, painstakingly fitting the pieces together to an accuracy of just 10 mm to ensure a perfect final fit",The Falkirk Wheel is the only boat lift in the world which has steel sections bolted together by hand.,3
"Awareness campaigns have so far had very little impact. Dr Ibrahim, Head of the Pharmacists Union, has made numerous appearances on national television to warn of the dangers of prescription pill abuse. At university level, pharmacists are taught vigilance and trained to act in keeping with ethics and pharmaceutical law. But in a country where pharmacists and doctors are paid very little, the temptation to sell pills to illegal vendors is overwhelming for some
""Last time I went to the beauty shop I go to for my creams, the shop owner brought out a chocolate box full of different fattening pills,"" says Ms Ahmed, the Khartoum student. ""Girls are too scared to ask pharmacists and doctors about the pills they buy from beauty shops, for fear of being publicly shamed.""",The low pay of doctors and pharmacists contributes to the problem of weight pill abuse.,1
"The Romans tattooed mercenary soldiers to stop them from becoming deserters.

For many years police agencies in the Western world were reluctant to use fingerprinting, much preferring the popular method of the time, the Bertillon System, where dimensions of certain body parts were recorded to identify a criminal. The turning point was in 1903 when a prisoner by the name of Will West was admitted into Leavenworth Federal Penitentiary
In the past branding, tattooing and maiming had been used to mark the criminal for what he was. In some countries, thieves would have their hands cut off. France branded criminals with the fleur-de-lis symbol
Whether people at this time actually realised the full extent of how fingerprints were important for identification purposes is another matter altogether. One cannot be sure if the act was seen as a means to confirm identity or a symbolic gesture to bind a contract, where giving your fingerprint was like giving your word.

Despite this uncertainty, there are those who made a significant contribution towards the analysis of fingerprinting
History tells us that a 14th century Persian doctor made an early statement that no two fingerprints are alike. Later, in the 17th century, Italian physician Marcello Malpighi studied the distinguishing shapes of loops and spirals in fingerprints.

In his honour, the medical world later named a layer of skin after him. It was, however, an employee for the East India Company, William Herschel, who came to see the true potential of fingerprinting
Amazingly, Will had almost the same Bertillon measurements as another prisoner residing at the very same prison, whose name happened to be William West. It was only their fingerprints that could tell them apart. From that point on, fingerprinting became the standard for criminal identification.

Fingerprinting was useful in identifying people with a history of crime and who were listed on a database",Roman soldiers were tattooed to prevent them from committing violent crimes. ,2
"Animal migration, however it is defined, is far more than just the movement of animals. It can loosely be described as travel that takes place at regular intervals - often in an annual cycle - that may involve many members of a species, and is rewarded only after a long journey. It suggests inherited instinct. The biologist Hugh Dingle has identified five characteristics that apply, in varying degrees and combinations, to all migrations
We will require wisdom and resoluteness to ensure that migrating species can continue their journeying a while longer.
Right now it is totally focused on the journey; its undivided intent is arrival.

Reaching some gravelly coastline in the Arctic, upon which other arctic terns have converged, will serve its larger purpose as shaped by evolution: finding a place, a time, and a set of circumstances in which it can successfully hatch and rear offspring.

But migration is a complex issue, and biologists define it differently, depending in part on what sorts of animals they study
A National Forest has recognised the path of the pronghorn, much of which passes across its land, as a protected migration corridor. But neither the Forest Service nor the Park Service can control what happens on private land at a bottleneck. And with certain other migrating species, the challenge is complicated further - by vastly greater distances traversed, more jurisdictions, more borders, more dangers along the way
They are prolonged movements that carry animals outside familiar habitats; they tend to be linear, not zigzaggy; they involve special behaviours concerning preparation (such as overfeeding) and arrival; they demand special allocations of energy. And one more: migrating animals maintain an intense attentiveness to the greater mission, which keeps them undistracted by temptations and undeterred by challenges that would turn other animals aside",Experts' definitions of migration tend to vary according to their area of study.,1
"Video games may actually teach kids high-level thinking skills that they will need in the future.

“Video games change your brain,” according to University of Wisconsin psychologist Shawn Green. Video games change the brain's physical structure the same way as do learning to read, playing the piano, or navigating using a map
Violent video games are readily blamed by the media and some experts as the reason why some youth become violent or commit extreme anti-social behavior. Recent content analyses of video games show that as many as 89% of games contain some violent content, but there is no form of aggressive content for 70% of popular games. Many scientists and psychologists, like James Paul Gee, find that video games actually have many benefits – the main one being making kids smart
When he saw how well the game held Sam's attention, he wondered what sort of beast a more mature video game might be.

Video and computer games, like many other popular, entertaining and addicting kid's activities, are looked down upon by many parents as time-wasters, and worse, parents think that these games rot the brain
Much like exercise can build muscle, the powerful combination of concentration and rewarding surges of neurotransmitters like dopamine, which strengthens neural circuits, can build the player's brain.

Video games give your child's brain a real workout. In many video games, the skills required to win involve abstract and high level thinking. These skills are not even taught at school
Sometimes the player does this almost every second of the game giving the brain a real workout. According to researchers at the University of Rochester, led by Daphne Bavelier, a cognitive scientist, games simulating stressful events such as those found in battle or action games could be a training tool for real-world situations. The study suggests that playing action video games primes the brain to make quick decisions",Those People who are addicted to video games have lots of dopamine in their brains.,1
"Fishbourne Roman Palace is in the village of Fishbourne in West Sussex, England. This large palace was built in the 1st century AD, around thirty years after the Roman conquest of Britain ,on the site of Roman army grain stores which had been established after the invasion, in the reign of the Roman Emperor Claudius in 43 AD. The rectangular palace was built around formal gardens, the northern half of which have been reconstructed
More alterations were in progress when the palace burnt down in around 270AD,after which it was abandoned.

Local people had long believed that a Roman palace once existed in the area .However, it was not until 1960 that the archaeologist Barry Cunliffe, of Oxford University, first systematically excavated the site, after workmen had accidentally uncovered a wall while they were laying a water main .The Roman villa excavated by Cunliffe's team was so grand that it became known as Fishbourne Roman Palace ,and a museum was erected to preserve some of the remains .This is administered by the Sussex Archaeological Society.

In its day, the completed palace would have comprised four large wings with colonnaded fronts
In size, Fishbourne Palace would have been approximately equivalent to some of the great Roman palaces of Italy, and was by far the largest known Roman residence north of the European Alps, at about 500 feet (150m)square",Fishbourne Palace was renovated more than once,1
"Researchers also learned that low frequency sounds, whose long wavelengths generally pass over tiny particles, tend to travel farther without loss through absorption or scattering. Further work on the effects of salinity, temperature, and pressure on the speed of sound has yielded fascinating insights into the structure of the ocean. Speaking generally, the ocean is divided into horizontal layers in which sound speed is influenced more greatly by temperature in the upper regions and by pressure in the lower depths
Until the twentieth century, however, no analogous instruments were available for the study of Earth's oceans: Light, which can travel trillions of miles through the vast vacuum of space, cannot penetrate very far in seawater.
Curious investigators long have been fascinated by sound and the way it travels in water
Thousands of sound paths in the ocean could be pieced together into a map of global ocean temperatures and, by repeating measurements along the same paths over times, scientists could track changes in temperature over months or years.
Researchers also are using other acoustic techniques to monitor climate. Oceanographer Jeff Nystuen at the University of Washington, for example, has explored the use of sound to measure rainfall over the ocean
Specifically, the system has enabled researchers to begin making ocean temperature measurements on a global scale – measurements that are keys to puzzling out the workings of heat transfer between the ocean and the atmosphere. The ocean plays an enormous role in determining air temperature the heat capacity in only the upper few meters of ocean is thought to be equal to all of the heat in the entire atmosphere. For sound waves traveling horizontally in the ocean, speed is largely a function of temperature
Thus, the travel time of a wave of sound between two points is a sensitive indicator of the average temperature along its path. Transmitting sound in numerous directions through the deep sound channel can give scientists measurements spanning vast areas of the globe",Research on the depth of ocean by method of sound wave is more time-consuming.,3
"The Chinese had been expert in biocontrol for many centuries.

The long tradition of ants in the Chinese orchards only began to waver in the 1950s and 1960s with the introduction of powerful organic insecticides. Although most fruit growers switched to chemicals, a few hung onto their ants. Those who abandoned ants in favour of chemicals quickly became disillusioned
In 1476, the farmers of Berne in Switzerland decided there was only one way to rid their fields of the cutworms attacking their crops. They took the pests to court. The worms were tried, found guilty and excommunicated by the arch­bishop. In China, farmers had a more practical approach to pest control. Rather than relying on divine intervention, they put their faith in frogs, ducks and ants
Frogs and ducks were encouraged to snap up the pests in the paddies and the occasional plague of locusts. But the notion of biological control began with an ant. More specifically, it started with the predatory yellow citrus ant Oeco-phylla smaragdina, which has been polishing off pests in the orange groves of southern China for at least 1,700 years
Therefore, people race to buy nests for their orange trees,"" wrote Liu Hsun in Strange Things Noted in the South in about 890.

The business guickly became more sophisticated. From the 10th century, coun­try people began to trap ants in artificial nests baited with fat
It's big, runs fast and has a powerful nip - painful to humans but lethal to many of the insects that plague the orange groves of Guangdong and Guangxi in southern China",Chinese farmers found that pesticides became increasingly expensive.,1
"Few merchants travelled the entire route; goods were handled mostly by a series of middlemen.

With the mulberry silkworm being native to China, the country was the world's sole producer of silk for many hundreds of years. The secret of silk-making eventually reached the rest of the world via the Byzantine Empire, which ruled over the Mediterranean region of southern Europe, North Africa and the Middle East during the period 330—1453 AD
According to another legend, monks working for the Byzantine emperor Justinian smuggle silkworm eggs to Constantinople (Istanbul in modern-day Turkey) in 550 AD, concealed inside hollow bamboo walking canes. The Byzantines were as secretive as the Chinese, however, and for many centuries the weaving and trading of silk fabric was a strict imperial monopoly
Then in the seventh century, the Arabs conquered Persia, capturing their magnificent silks in the process.

Silk production thus spread through Africa, Sicily and Spain as the Arabs swept, through these lands. Andalusia in southern Spain was Europe's main silk-producing centre in the tenth century. By the thirteenth century, however, Italy had become Europe's leader in silk production and export
Silk was also used as diplomatic gifts by the emperor. Fishing lines, bowstrings, musical instruments and paper were all made using silk. The earliest indication of silk paper being used was discovered in the tomb of a noble who is estimated to have died around 168 AD.

Demand for this exotic fabric eventually created the lucrative trade route now known as the Silk Road, taking silk westward and bringing gold, silver and wool to the East",The Byzantines spread the practice of silk production across the West.,2
"In addition to a sudden spurt in physical growth, adolescents experience a sudden increase in their ability to think about their world. As a normal part of maturity, they are able to think more things. However, they are also able to conceive of their world with awareness. Before adolescence, children's thinking is dominated by a concrete example for any problem that they solve; their thinking is constrained to what is real and physical
During adolescence, young people begin to recognise and understand abstractions. The growth in ability to deal with abstractions accelerates during the middle stages of adolescence.

The adolescent must adjust to increased cognitive demands at school. Adults see high school in part as a place where adolescents prepare for adult roles and responsibilities and in part as preparatory for further education
School curricula are frequently dominated by the inclusion of more abstract, demanding material, regardless of whether the adolescents have achieved formal thought. Since not all adolescents make the intellectual transition at the same rate, demands for abstract thinking prior to the achievement of that ability may be frustrating.

The adolescent must adopt a personal value system. During adolescence, as teens develop increasingly complex knowledge systems, they also adopt an integrated set of values and morals
To reconcile differences, the adolescent restructures those beliefs into a personal ideology.

The adolescent must develop expanded verbal skills to accommodate more complex concepts and tasks. Their limited language of childhood is no longer adequate. As their conceptual development may outstrip their verbal development, adolescents may appear less competent than they really are.

The adolescent must establish adult vocational goals",Most pre-adolescent children are capable of abstract thought.,2
